year,data,Id,subject,scale,grade
1,3,2008140,Art,GCSE,A
1,3,2008157,Art,GCSE,A
1,3,2008178,Art,GCSE,A
1,3,2008184,Art,GCSE,A
1,3,3709,Art,GCSE,A
1,3,2008010,Art,GCSE,B
1,3,2008020,Art,GCSE,B
1,3,2008029,Art,GCSE,B
1,3,2008034,Art,GCSE,B
1,3,2008047,Art,GCSE,B
1,3,2008049,Art,GCSE,B
1,3,2008055,Art,GCSE,B
1,3,2008080,Art,GCSE,B
1,3,2008108,Art,GCSE,B
1,3,2008119,Art,GCSE,B
1,3,2008146,Art,GCSE,B
1,3,2008151,Art,GCSE,B
1,3,2008154,Art,GCSE,B
1,3,2008166,Art,GCSE,B
1,3,2008019,Art,GCSE,C
1,3,2008056,Art,GCSE,C
1,3,2008068,Art,GCSE,C
1,3,2008088,Art,GCSE,C
1,3,2008090,Art,GCSE,C
1,3,2008091,Art,GCSE,C
1,3,2008099,Art,GCSE,C
1,3,2008111,Art,GCSE,C
1,3,2008115,Art,GCSE,C
1,3,2008128,Art,GCSE,C
1,3,2008159,Art,GCSE,C
1,3,2008165,Art,GCSE,C
1,3,2008186,Art,GCSE,C
1,3,2008189,Art,GCSE,C
1,3,2008220,Art,GCSE,C
1,3,2008221,Art,GCSE,C
1,3,2008223,Art,GCSE,C
1,3,2008003,Art,GCSE,D
1,3,2008037,Art,GCSE,D
1,3,2008082,Art,GCSE,D
1,3,2008126,Art,GCSE,D
1,3,2008138,Art,GCSE,D
1,3,2008143,Art,GCSE,D
1,3,2008150,Art,GCSE,D
1,3,2008152,Art,GCSE,D
1,3,2008199,Art,GCSE,D
1,3,2008218,Art,GCSE,D
1,3,2008229,Art,GCSE,D
1,3,2008081,Art,GCSE,E
1,3,2008156,Art,GCSE,E
1,3,2008175,Art,GCSE,E
1,3,2008216,Art,GCSE,E
1,3,2008224,Art,GCSE,E
1,3,2008231,Art,GCSE,E
1,3,3707,Art,GCSE,E
1,3,3710,Art,GCSE,E
1,3,2008062,Art,GCSE,F
1,3,2008121,Art,GCSE,F
1,3,2008016,Basic Construction Skills,AVAC,B
1,3,2008033,Basic Construction Skills,AVAC,B
1,3,2008041,Basic Construction Skills,AVAC,B
1,3,2008052,Basic Construction Skills,AVAC,B
1,3,2008069,Basic Construction Skills,AVAC,B
1,3,2008098,Basic Construction Skills,AVAC,B
1,3,2008120,Basic Construction Skills,AVAC,B
1,3,2008130,Basic Construction Skills,AVAC,B
1,3,2008169,Basic Construction Skills,AVAC,B
1,3,2008179,Basic Construction Skills,AVAC,B
1,3,2008182,Basic Construction Skills,AVAC,B
1,3,2008222,Basic Construction Skills,AVAC,B
1,3,2008024,Basic Construction Skills,AVAC,C
1,3,2008057,Basic Construction Skills,AVAC,C
1,3,2008077,Basic Construction Skills,AVAC,C
1,3,2008008,Biology,GCSE,A
1,3,2008026,Biology,GCSE,A
1,3,2008048,Biology,GCSE,A
1,3,2008110,Biology,GCSE,A
1,3,2008119,Biology,GCSE,A
1,3,2008124,Biology,GCSE,A
1,3,2008136,Biology,GCSE,A
1,3,2008200,Biology,GCSE,A
1,3,2008215,Biology,GCSE,A
1,3,2008220,Biology,GCSE,A
1,3,2008227,Biology,GCSE,A
1,3,2008014,Biology,GCSE,B
1,3,2008015,Biology,GCSE,B
1,3,2008017,Biology,GCSE,B
1,3,2008027,Biology,GCSE,B
1,3,2008029,Biology,GCSE,B
1,3,2008034,Biology,GCSE,B
1,3,2008035,Biology,GCSE,B
1,3,2008046,Biology,GCSE,B
1,3,2008047,Biology,GCSE,B
1,3,2008049,Biology,GCSE,B
1,3,2008050,Biology,GCSE,B
1,3,2008054,Biology,GCSE,B
1,3,2008055,Biology,GCSE,B
1,3,2008058,Biology,GCSE,B
1,3,2008064,Biology,GCSE,B
1,3,2008072,Biology,GCSE,B
1,3,2008078,Biology,GCSE,B
1,3,2008083,Biology,GCSE,B
1,3,2008088,Biology,GCSE,B
1,3,2008091,Biology,GCSE,B
1,3,2008097,Biology,GCSE,B
1,3,2008105,Biology,GCSE,B
1,3,2008114,Biology,GCSE,B
1,3,2008127,Biology,GCSE,B
1,3,2008137,Biology,GCSE,B
1,3,2008139,Biology,GCSE,B
1,3,2008140,Biology,GCSE,B
1,3,2008142,Biology,GCSE,B
1,3,2008144,Biology,GCSE,B
1,3,2008145,Biology,GCSE,B
1,3,2008146,Biology,GCSE,B
1,3,2008147,Biology,GCSE,B
1,3,2008151,Biology,GCSE,B
1,3,2008155,Biology,GCSE,B
1,3,2008161,Biology,GCSE,B
1,3,2008162,Biology,GCSE,B
1,3,2008163,Biology,GCSE,B
1,3,2008171,Biology,GCSE,B
1,3,2008177,Biology,GCSE,B
1,3,2008178,Biology,GCSE,B
1,3,2008180,Biology,GCSE,B
1,3,2008189,Biology,GCSE,B
1,3,2008194,Biology,GCSE,B
1,3,2008195,Biology,GCSE,B
1,3,2008205,Biology,GCSE,B
1,3,2008214,Biology,GCSE,B
1,3,2008226,Biology,GCSE,B
1,3,2008004,Biology,GCSE,C
1,3,2008006,Biology,GCSE,C
1,3,2008007,Biology,GCSE,C
1,3,2008010,Biology,GCSE,C
1,3,2008012,Biology,GCSE,C
1,3,2008019,Biology,GCSE,C
1,3,2008020,Biology,GCSE,C
1,3,2008023,Biology,GCSE,C
1,3,2008028,Biology,GCSE,C
1,3,2008037,Biology,GCSE,C
1,3,2008051,Biology,GCSE,C
1,3,2008053,Biology,GCSE,C
1,3,2008059,Biology,GCSE,C
1,3,2008061,Biology,GCSE,C
1,3,2008065,Biology,GCSE,C
1,3,2008067,Biology,GCSE,C
1,3,2008068,Biology,GCSE,C
1,3,2008074,Biology,GCSE,C
1,3,2008076,Biology,GCSE,C
1,3,2008079,Biology,GCSE,C
1,3,2008094,Biology,GCSE,C
1,3,2008099,Biology,GCSE,C
1,3,2008101,Biology,GCSE,C
1,3,2008106,Biology,GCSE,C
1,3,2008108,Biology,GCSE,C
1,3,2008115,Biology,GCSE,C
1,3,2008116,Biology,GCSE,C
1,3,2008121,Biology,GCSE,C
1,3,2008125,Biology,GCSE,C
1,3,2008156,Biology,GCSE,C
1,3,2008157,Biology,GCSE,C
1,3,2008158,Biology,GCSE,C
1,3,2008168,Biology,GCSE,C
1,3,2008184,Biology,GCSE,C
1,3,2008185,Biology,GCSE,C
1,3,2008187,Biology,GCSE,C
1,3,2008196,Biology,GCSE,C
1,3,2008201,Biology,GCSE,C
1,3,2008203,Biology,GCSE,C
1,3,2008212,Biology,GCSE,C
1,3,2008218,Biology,GCSE,C
1,3,2008221,Biology,GCSE,C
1,3,2008228,Biology,GCSE,C
1,3,3701,Biology,GCSE,C
1,3,3709,Biology,GCSE,C
1,3,2008043,Biology,GCSE,D
1,3,2008090,Biology,GCSE,D
1,3,2008129,Biology,GCSE,D
1,3,2008133,Biology,GCSE,D
1,3,2008166,Biology,GCSE,D
1,3,2008168,BTEC Music,BTEC,B
1,3,2008205,BTEC Music,BTEC,B
1,3,2008006,BTEC Music,BTEC,C
1,3,2008017,BTEC Music,BTEC,C
1,3,2008019,BTEC Music,BTEC,C
1,3,2008054,BTEC Music,BTEC,C
1,3,2008064,BTEC Music,BTEC,C
1,3,2008095,BTEC Music,BTEC,C
1,3,2008099,BTEC Music,BTEC,C
1,3,2008133,BTEC Music,BTEC,C
1,3,2008185,BTEC Music,BTEC,C
1,3,2008030,BTEC Music,BTEC,D
1,3,2008102,BTEC Music,BTEC,D
1,3,2008131,BTEC Music,BTEC,E
1,3,2008024,BTEC Science,BTEC,B
1,3,2008032,BTEC Science,BTEC,B
1,3,2008060,BTEC Science,BTEC,B
1,3,2008113,BTEC Science,BTEC,B
1,3,2008120,BTEC Science,BTEC,B
1,3,2008149,BTEC Science,BTEC,B
1,3,2008173,BTEC Science,BTEC,B
1,3,2008033,BTEC Science,BTEC,C
1,3,2008041,BTEC Science,BTEC,C
1,3,2008044,BTEC Science,BTEC,C
1,3,2008069,BTEC Science,BTEC,C
1,3,2008077,BTEC Science,BTEC,C
1,3,2008098,BTEC Science,BTEC,C
1,3,2008104,BTEC Science,BTEC,C
1,3,2008107,BTEC Science,BTEC,C
1,3,2008126,BTEC Science,BTEC,C
1,3,2008128,BTEC Science,BTEC,C
1,3,2008130,BTEC Science,BTEC,C
1,3,2008169,BTEC Science,BTEC,C
1,3,2008179,BTEC Science,BTEC,C
1,3,2008182,BTEC Science,BTEC,C
1,3,2008199,BTEC Science,BTEC,C
1,3,2008224,BTEC Science,BTEC,C
1,3,3710,BTEC Science,BTEC,C
1,3,3714,BTEC Science,BTEC,C
1,3,2008016,BTEC Science,BTEC,D
1,3,2008052,BTEC Science,BTEC,D
1,3,2008057,BTEC Science,BTEC,D
1,3,2008222,BTEC Science,BTEC,D
1,3,2008227,Business Studies,GCSE,A
1,3,3709,Business Studies,GCSE,A
1,3,2008028,Business Studies,GCSE,B
1,3,2008051,Business Studies,GCSE,B
1,3,2008061,Business Studies,GCSE,B
1,3,2008078,Business Studies,GCSE,B
1,3,2008127,Business Studies,GCSE,B
1,3,2008222,Business Studies,GCSE,B
1,3,3701,Business Studies,GCSE,B
1,3,2008001,Business Studies,GCSE,C
1,3,2008027,Business Studies,GCSE,C
1,3,2008031,Business Studies,GCSE,C
1,3,2008033,Business Studies,GCSE,C
1,3,2008069,Business Studies,GCSE,C
1,3,2008074,Business Studies,GCSE,C
1,3,2008076,Business Studies,GCSE,C
1,3,2008079,Business Studies,GCSE,C
1,3,2008091,Business Studies,GCSE,C
1,3,2008120,Business Studies,GCSE,C
